width,depth,curvature,point_count,label
0.0643,0.0110,28.0332,4,
0.0460,0.0020,9.2887,5,
0.0668,0.0328,30.3813,8,
0.3616,0.0155,5.4446,43,
0.6037,0.0548,1.3166,70,
0.6038,0.0279,0.9209,73,
0.6220,0.0334,0.8899,73,
0.6349,0.0371,0.8480,74,
0.6275,0.0335,0.8176,72,
0.6212,0.0259,0.7058,72,
0.6355,0.0371,0.7383,72,
0.6249,0.0291,0.8542,70,
0.6563,0.0346,0.7122,72,
0.6325,0.0303,0.7969,70,
0.6425,0.0304,0.6769,71,
0.6550,0.0373,0.8642,71,
0.6476,0.0358,0.7737,72,
0.6421,0.0287,0.8456,71,
0.6492,0.0346,0.9110,71,
0.0300,0.0027,22.1507,4,
0.6614,0.0390,0.9384,73,
0.0323,0.0024,17.9754,4,
0.6913,0.0453,0.8796,75,
0.0435,0.0058,25.2539,5,
0.6802,0.0303,0.7404,77,
0.0396,0.0046,24.1284,5,
0.7282,0.0303,1.1916,85,
0.7667,0.1537,2.5250,95,
0.0426,0.0195,52.2100,4,
0.4240,0.1303,4.3007,62,
0.2313,0.0185,3.1635,22,
0.4017,0.1306,4.6363,60,
0.0829,0.0055,6.1692,8,
0.0401,0.0027,12.3790,6,
0.3143,0.0119,8.1965,37,
0.0833,0.0044,5.0944,8,
0.0520,0.0022,6.8534,4,
0.2957,0.0130,4.2101,38,
0.0873,0.0030,3.3028,8,
0.0409,0.0033,16.9213,4,
0.3128,0.0242,2.0656,39,
0.0949,0.0031,2.8985,8,
0.0538,0.0057,16.8016,5,
0.3065,0.0198,1.8387,39,
0.1004,0.0025,1.9138,8,
0.0902,0.0011,1.0521,4,
0.0416,0.0064,26.9874,5,
0.0249,0.0002,1.9326,4,
0.3087,0.0217,1.9191,39,
0.0956,0.0013,1.4400,8,
0.0856,0.0013,1.4440,4,
0.0444,0.0038,17.9270,5,
0.0285,0.0013,13.2213,4,
0.3091,0.0174,1.5955,39,
0.0907,0.0017,1.8617,8,
0.0799,0.0010,1.3688,4,
0.0538,0.0063,17.7065,5,
0.0257,0.0008,9.2356,4,
0.3156,0.0178,1.7195,39,
0.1659,0.0070,2.0550,11,
0.0810,0.0003,0.6244,4,
0.0521,0.0065,18.9223,5,
0.0276,0.0001,1.4609,4,
0.3165,0.0211,1.7479,39,
0.2091,0.0119,2.0661,17,
0.0810,0.0003,0.4451,4,
0.0360,0.0044,28.8685,4,
0.0445,0.0153,45.8533,5,
0.3105,0.0119,1.4521,37,
0.2190,0.0140,2.2611,20,
0.0613,0.0113,21.8457,6,
0.0258,0.0001,1.4621,4,
0.3262,0.0145,1.6201,38,
0.2090,0.0150,3.6117,18,
0.0488,0.0055,18.8216,5,
0.0308,0.0009,8.0483,4,
0.3265,0.0122,1.8313,41,
0.1888,0.0150,4.5579,15,
0.0844,0.0010,1.1475,4,
0.0417,0.0070,28.3850,5,
0.0357,0.0172,57.7089,4,
0.3138,0.0087,2.7551,40,
0.0837,0.0078,8.5702,7,
0.0929,0.0011,1.0183,4,
0.0421,0.0067,27.0732,5,
0.3249,0.0090,10.2788,40,
0.0713,0.0035,7.5695,8,
0.0422,0.0030,15.0282,4,
0.3279,0.0078,2.9082,39,
0.0732,0.0035,7.0951,10,
0.0490,0.0022,8.4764,4,
0.0327,0.0040,29.7999,4,
0.3407,0.0152,2.6277,43,
0.0848,0.0036,4.2635,12,
0.0527,0.0067,19.0243,5,
0.3833,0.1335,5.4404,51,
0.0928,0.0032,3.1595,13,
0.0551,0.0067,17.9100,5,
0.3856,0.1296,5.1151,56,
0.0884,0.0037,3.6235,13,
0.0330,0.0052,38.9837,4,
0.3881,0.1296,5.0746,56,
0.0835,0.0028,3.5610,12,
0.0806,0.0103,15.7151,6,
0.3871,0.1230,4.8665,57,
0.0820,0.0028,3.9794,12,
0.0798,0.0062,18.7837,6,
0.3907,0.1241,4.7750,59,
0.0728,0.0033,10.8750,11,
0.0915,0.0067,18.0941,7,
0.3893,0.1212,4.7535,60,
0.0733,0.0041,9.1085,11,
0.1054,0.0092,8.4733,8,
0.3909,0.1153,4.5968,60,
0.0794,0.0020,9.1909,12,
0.0853,0.0124,15.0835,7,
0.3917,0.1175,4.5053,61,
0.0756,0.0031,41.4615,11,
0.1038,0.0091,9.9289,8,
0.3903,0.1131,4.4207,61,
0.0748,0.0035,40.0847,11,
0.1004,0.0109,10.1316,8,
0.3884,0.1138,4.4727,61,
0.0679,0.0036,16.3671,10,
0.0968,0.0104,10.1217,8,
0.3910,0.1138,4.4351,61,
0.0753,0.0040,25.8316,11,
0.1039,0.0106,8.6678,8,
0.3885,0.1149,4.5027,61,
0.0820,0.0036,32.3805,12,
0.1035,0.0147,13.8467,8,
0.3908,0.1113,4.3582,60,
0.0744,0.0027,31.6416,11,
0.1040,0.0135,11.0327,8,
0.3914,0.1124,4.3607,60,
0.0748,0.0023,26.2496,11,
0.1084,0.0141,11.2028,8,
0.3938,0.1153,4.4317,61,
0.0743,0.0025,34.6108,11,
0.1161,0.0135,12.1105,8,
0.3948,0.1171,4.5180,62,
0.0739,0.0030,10.6988,11,
0.1084,0.0130,9.5610,8,
0.3921,0.1167,4.5318,61,
0.0723,0.0022,29.5456,11,
0.1125,0.0152,12.4309,8,
0.3918,0.1158,4.5485,61,
0.0735,0.0029,9.2369,11,
0.1151,0.0159,12.0679,8,
0.3917,0.1171,4.5585,61,
0.0749,0.0021,24.2360,11,
0.1319,0.0170,10.3615,9,
0.3918,0.1165,4.5653,61,
0.0736,0.0035,7.3312,11,
0.1210,0.0119,7.8935,8,
0.3927,0.1153,4.5216,61,
0.0731,0.0020,10.9352,11,
0.1140,0.0172,14.3846,8,
0.3893,0.1159,4.6147,59,
0.0709,0.0021,4.7318,10,
0.1267,0.0149,10.1674,9,
0.3915,0.1150,4.6031,60,
0.0790,0.0028,5.0749,12,
0.1011,0.0166,14.1910,7,
0.3922,0.1211,4.6605,57,
0.0786,0.0014,4.1682,12,
0.0999,0.0136,12.7447,7,
0.3911,0.1215,4.6202,55,
0.0733,0.0008,5.1219,11,
0.1126,0.0161,11.7065,8,
0.1233,0.0031,10.7839,6,
0.0507,0.0061,23.6829,7,
0.3187,0.0392,3.6988,44,
0.0761,0.0023,4.1302,11,
0.0989,0.0220,17.6073,8,
0.1869,0.0199,4.8746,9,
0.1167,0.0092,5.8941,4,
0.0520,0.0084,21.3637,7,
0.2853,0.0152,3.4791,36,
0.0704,0.0027,18.5029,10,
0.0899,0.0247,25.6030,8,
0.2252,0.0266,4.1228,11,
0.1272,0.0194,9.0881,4,
0.0395,0.0013,23.7769,6,
0.2894,0.0131,3.7241,37,
0.0697,0.0048,8.4676,10,
0.0686,0.0216,26.4676,8,
0.2693,0.0340,3.9971,13,
0.1161,0.0288,13.9408,4,
0.0476,0.0026,13.5688,7,
0.3082,0.0124,4.2009,36,
0.0702,0.0044,7.8112,10,
0.0651,0.0192,27.4703,8,
0.2709,0.0275,2.7687,13,
0.1185,0.0112,6.4400,4,
0.0583,0.0069,19.3319,7,
0.3359,0.0273,2.4714,44,
0.0619,0.0047,12.8028,9,
0.0678,0.0188,25.1206,8,
0.3173,0.0385,2.8797,15,
0.1664,0.0312,7.8810,4,
0.0535,0.0085,26.1958,7,
0.3301,0.0266,3.1830,43,
0.0584,0.0019,35.1794,8,
0.0662,0.0183,25.2418,8,
0.3051,0.0478,3.5298,14,
0.1621,0.0397,9.7701,4,
0.0557,0.0055,18.3368,7,
0.3347,0.0210,2.7025,43,
0.0665,0.0021,14.7393,9,
0.0571,0.0151,28.6370,7,
0.2987,0.0455,3.7179,14,
0.1132,0.0186,21.5238,4,
0.0334,0.0165,61.6014,4,
0.0550,0.0052,15.3691,7,
0.3203,0.0150,3.2468,38,
0.0592,0.0029,6.7766,8,
0.0721,0.0205,23.6211,8,
0.2795,0.0414,3.8816,13,
0.1164,0.0433,16.7703,4,
0.0384,0.0041,20.3288,6,
0.3288,0.0132,2.8544,38,
0.0633,0.0016,5.4694,8,
0.0935,0.0060,5.8708,4,
0.0664,0.0196,26.1074,8,
0.2768,0.0454,4.3430,12,
0.1457,0.0144,5.8399,5,
0.0434,0.0024,17.1205,6,
0.3265,0.0115,2.5924,38,
0.0698,0.0034,5.8267,8,
0.1329,0.0095,4.4573,5,
0.0749,0.0251,25.0562,9,
0.2145,0.0230,4.1643,10,
0.1542,0.0173,16.4567,6,
0.0330,0.0016,41.4875,5,
0.3250,0.0135,2.1848,38,
0.0773,0.0050,7.4019,8,
0.1528,0.0043,1.6464,6,
0.0676,0.0196,26.0280,8,
0.1513,0.0104,3.7700,7,
0.3338,0.0096,3.7657,41,
0.0825,0.0044,5.8189,8,
0.1747,0.0031,0.9043,7,
0.0748,0.0253,25.0952,9,
0.1325,0.0033,1.9410,6,
0.0261,0.0138,76.8529,4,
0.3286,0.0116,2.7548,39,
0.2167,0.0131,2.3095,21,
0.2142,0.0032,0.5489,8,
0.0646,0.0208,28.7663,8,
0.1604,0.0008,0.3731,6,
0.6428,0.0409,0.8906,77,
0.2116,0.0023,0.4679,8,
0.0737,0.0255,25.7770,9,
0.1592,0.0032,1.0940,4,
0.0960,0.0149,19.0637,4,
0.6377,0.0325,0.8866,74,
0.1863,0.0047,1.1570,8,
0.0563,0.0123,26.4164,7,
0.0275,0.0008,8.2361,4,
0.6356,0.0371,1.2665,74,
0.1988,0.0020,9.2317,8,
0.0655,0.0202,27.0405,8,
0.0348,0.0037,23.5329,5,
0.0448,0.0049,18.8300,4,
0.6367,0.0279,2.0280,74,
0.1968,0.0023,9.8777,8,
0.0558,0.0139,27.8702,7,
0.0360,0.0046,27.3042,5,
0.0355,0.0020,12.9933,4,
0.6296,0.0338,5.0868,72,
0.1977,0.0014,0.4161,8,
0.0712,0.0167,21.6046,8,
0.0473,0.0063,19.9492,6,
0.0574,0.0024,5.7793,6,
0.6145,0.0303,4.5339,70,
0.2043,0.0030,0.5303,8,
0.0677,0.0194,25.2533,8,
0.0579,0.0079,16.9729,7,
0.0571,0.0017,4.2273,5,
0.6072,0.0281,5.8192,70,
0.2011,0.0052,1.1147,8,
0.0681,0.0199,25.9469,8,
0.0547,0.0050,19.5828,7,
0.0577,0.0035,9.1589,6,
0.6039,0.0200,0.7523,70,
0.1985,0.0021,0.4877,8,
0.0624,0.0193,28.7375,8,
0.0392,0.0129,46.8065,5,
0.0769,0.0022,6.1837,6,
0.6092,0.0375,1.3542,72,
0.1981,0.0020,0.3871,8,
0.0737,0.0250,25.6907,9,
0.0265,0.0009,19.4066,4,
0.0710,0.0023,6.8853,6,
0.2691,0.0311,3.1713,32,
0.0648,0.0090,30.8824,40,
0.1981,0.0014,0.3572,8,
0.0731,0.0212,23.7695,8,
0.0343,0.0082,46.8367,5,
0.0580,0.0018,4.3982,5,
0.3265,0.0252,2.9952,37,
0.1783,0.0316,19.8022,74,
0.0423,0.0194,47.5682,6,
0.0402,0.0015,8.0238,4,
0.1009,0.0563,23.4474,169,
0.0359,0.0047,28.0344,5,
0.1000,0.0418,25.7658,174,
0.0438,0.0013,13.0561,6,
0.0846,0.0400,29.9732,171,
0.1396,0.0527,16.9073,5,
0.1135,0.0115,12.4270,4,
0.0452,0.0056,21.6084,6,
0.0645,0.0079,15.6728,6,
0.0752,0.0458,31.2574,168,
0.0445,0.0008,3.8207,6,
0.0773,0.0477,31.1034,171,
0.0333,0.0019,22.7499,8,
0.0527,0.0068,51.6588,6,
0.0781,0.0499,30.8015,174,
0.2219,0.0490,13.0930,188,
0.1147,0.0056,3.6264,4,
0.0061,0.0006,137.1580,4,
0.0337,0.0054,36.2699,5,
0.2272,0.0463,13.3739,184,
0.1474,0.0691,15.2461,5,
0.1385,0.0641,16.8353,7,
0.0100,0.0049,233.6721,6,
0.2348,0.0199,4.9848,13,
0.0480,0.0010,3.9640,6,
0.0834,0.0108,12.1500,9,
0.2485,0.0582,13.8950,198,
0.1472,0.0658,14.6617,5,
0.1288,0.0678,17.8456,7,
0.0316,0.0065,83.4059,4,
0.0136,0.0073,157.5344,6,
0.2311,0.0201,3.7260,12,
0.0398,0.0026,28.3422,5,
0.0658,0.0009,47.2954,13,
0.1734,0.0562,10.8564,6,
0.1222,0.0515,17.7062,5,
0.1203,0.0144,14.9006,4,
0.0136,0.0018,73.4193,5,
0.2396,0.0132,4.3537,13,
0.0844,0.0453,25.1161,7,
0.2115,0.0289,5.2389,23,
0.1050,0.0444,25.8437,63,
0.0588,0.0018,5.4640,13,
0.1396,0.0136,10.0351,5,
0.1259,0.0563,17.4695,7,
0.0154,0.0051,151.7241,6,
0.2326,0.0261,5.1982,13,
0.0504,0.0097,30.6004,6,
0.6009,0.0505,1.4514,73,
0.2202,0.0028,0.5225,9,
0.0601,0.0013,5.7808,13,
0.2017,0.0763,9.8153,6,
0.1314,0.0670,16.9300,7,
0.0343,0.0159,61.3583,4,
0.0234,0.0073,118.3839,6,
0.2401,0.0209,4.5438,12,
0.0456,0.0022,52.0368,6,
0.6354,0.0385,1.5768,73,
0.2440,0.0027,0.3525,10,
0.0657,0.0016,3.4657,13,
0.1801,0.0728,12.0860,6,
0.1303,0.0648,17.3506,6,
0.0247,0.0077,95.1547,4,
0.0120,0.0066,172.5464,6,
0.2311,0.0195,3.6219,12,
0.0667,0.0135,23.5404,8,
0.6433,0.0354,5.4778,73,
0.2805,0.0012,0.2276,11,
0.0600,0.0008,8.0672,13,
0.1506,0.0691,14.1849,5,
0.1282,0.0654,17.9759,8,
0.0362,0.0186,63.5200,4,
0.0190,0.0039,79.1939,6,
0.2320,0.0132,4.4745,12,
0.0994,0.0180,17.0400,11,
0.6645,0.0634,1.9360,72,
0.2563,0.0010,0.2726,10,
0.0805,0.0018,3.6240,13,
0.1401,0.0346,12.5796,5,
0.1308,0.0700,17.6341,8,
0.1072,0.0193,14.6299,4,
0.0102,0.0027,163.3327,5,
0.2321,0.0132,4.3483,12,
0.1031,0.0235,16.7844,11,
0.6515,0.0651,1.4450,71,
0.2370,0.0009,0.2801,9,
0.0560,0.0030,8.8970,13,
0.1410,0.0108,14.4434,5,
0.1152,0.0485,19.5963,7,
0.0633,0.0039,19.3946,4,
0.0132,0.0019,87.5792,7,
0.2390,0.0194,3.5725,12,
0.1153,0.0223,12.7703,11,
0.6477,0.0500,1.4631,72,
0.1931,0.0020,0.5310,8,
0.0579,0.0017,6.0153,13,
0.1458,0.0593,14.1926,5,
0.1315,0.0682,17.5828,7,
0.0398,0.0125,55.6437,4,
0.0238,0.0078,104.5272,7,
0.2273,0.0203,4.1161,12,
0.1079,0.0232,14.8457,11,
0.6613,0.0497,2.9239,74,
0.1119,0.0022,1.6737,5,
0.0727,0.0009,1.7670,14,
0.1541,0.0353,15.8730,4,
0.1173,0.0029,1.6889,4,
0.1253,0.0415,16.6028,5,
0.0555,0.0113,47.1015,4,
0.0078,0.0007,359.7404,5,
0.2347,0.0196,4.6705,13,
0.1138,0.0212,12.4225,11,
0.6635,0.0524,3.3733,76,
0.0828,0.0003,0.6226,4,
0.0627,0.0013,19.1394,13,
0.1465,0.0141,5.6887,5,
0.1165,0.0492,18.2308,5,
0.0181,0.0051,141.6672,6,
0.2253,0.0187,5.3303,12,
0.1201,0.0241,26.6459,11,
0.6759,0.0542,2.7681,76,
0.0569,0.0017,4.9451,13,
0.1431,0.0140,7.7060,5,
0.1226,0.0516,17.2633,5,
0.0172,0.0075,129.3287,7,
0.2291,0.0135,5.0819,12,
0.0941,0.0238,18.6736,10,
0.6813,0.0544,2.7230,76,
0.0564,0.0021,8.9496,13,
0.1793,0.0790,11.9235,6,
0.1237,0.0534,17.4212,5,
0.0208,0.0041,87.1812,7,
0.2408,0.0132,5.1558,13,
0.0924,0.0266,19.8979,10,
0.6819,0.0578,2.0665,74,
0.1116,0.0003,0.3645,5,
0.0669,0.0015,3.1819,13,
0.1426,0.0223,9.7955,5,
0.1607,0.0733,13.6443,6,
0.0158,0.0038,117.2636,6,
0.2366,0.0176,4.3664,13,
0.1184,0.0200,20.3464,11,
0.6786,0.0518,1.5934,72,
0.1672,0.0004,0.2252,7,
0.0659,0.0011,5.1346,13,
0.1419,0.0105,6.2968,5,
0.1224,0.0502,17.7661,5,
0.0143,0.0014,53.7697,5,
0.2396,0.0133,4.6933,13,
0.1245,0.0304,27.1770,11,
0.6590,0.0398,1.5443,69,
0.2210,0.0018,0.3237,9,
0.0678,0.0015,2.6662,13,
0.1818,0.0597,11.3190,6,
0.1198,0.0484,17.9557,5,
0.1003,0.0206,19.0676,4,
0.0272,0.0130,91.9508,8,
0.2312,0.0198,5.1461,12,
0.1514,0.0456,16.8664,11,
0.6476,0.0352,1.8287,67,
0.2698,0.0043,0.4856,10,
0.0551,0.0012,54.4857,13,
0.1511,0.0021,2.9038,5,
0.1227,0.0600,18.2837,6,
0.0192,0.0040,72.9237,6,
0.2410,0.0263,4.7270,13,
0.1134,0.0140,12.5513,11,
0.1157,0.0736,19.2782,6,
0.6148,0.0463,1.1176,62,
0.2986,0.0013,1.0952,11,
0.0599,0.0005,18.4544,13,
0.2053,0.0849,10.0212,6,
0.1336,0.0671,16.8075,6,
0.0417,0.0197,50.3311,4,
0.0154,0.0040,139.0538,6,
0.2284,0.0192,3.9151,12,
0.1112,0.0181,12.6889,11,
0.2674,0.0725,11.5862,14,
0.5845,0.0610,1.3729,57,
0.3442,0.0011,0.4431,13,
0.0707,0.0014,2.9933,13,
0.1575,0.0233,14.2508,4,
0.1490,0.0562,13.4694,5,
0.1261,0.0461,17.3533,5,
0.0341,0.0121,62.8419,7,
0.2303,0.0135,4.8576,12,
0.0915,0.0263,19.8484,10,
0.2351,0.0688,10.5659,13,
0.5502,0.0658,1.5458,54,
0.3474,0.0090,0.6542,13,
0.0643,0.0017,7.1746,12,
0.1381,0.0074,6.6889,5,
0.1203,0.0494,19.0932,6,
0.0207,0.0039,122.9811,6,
0.2223,0.0135,5.2799,12,
0.1250,0.0302,27.1380,11,
0.2366,0.0741,10.3475,13,
0.5270,0.0657,1.6292,52,
0.3665,0.0055,0.3689,14,
0.0589,0.0009,4.2799,13,
0.1408,0.0615,15.8450,5,
0.1243,0.0626,18.5137,7,
0.0385,0.0047,36.3471,4,
0.0136,0.0080,167.9482,6,
0.2356,0.0196,4.7342,13,
0.1134,0.0249,13.9854,11,
0.2543,0.0592,11.6712,14,
0.5494,0.0927,1.9306,52,
0.3399,0.0019,0.8883,13,
0.0596,0.0024,5.8732,13,
0.1517,0.0723,14.3433,5,
0.1234,0.0465,17.3267,5,
0.0331,0.0113,58.0239,7,
0.2242,0.0181,5.3588,12,
0.0933,0.0266,19.6850,10,
0.2269,0.0731,11.2441,13,
0.5179,0.0754,1.8552,51,
0.3265,0.0020,0.1964,12,
0.0736,0.0011,2.0189,13,
0.1509,0.0497,14.6836,4,
0.1223,0.0027,20.9057,4,
0.1276,0.0517,16.6387,5,
0.0115,0.0042,170.9824,5,
0.2302,0.0181,4.6732,12,
0.0922,0.0278,20.8828,10,
0.2290,0.0630,10.5593,13,
0.5295,0.0685,1.6313,52,
0.3136,0.0016,0.3299,12,
0.0561,0.0018,7.5051,13,
0.1850,0.0545,11.1767,6,
0.1209,0.0482,17.9769,5,
0.0309,0.0037,85.2206,7,
0.2271,0.0133,4.7518,12,
0.1252,0.0286,26.9113,11,
0.2297,0.0795,11.1170,13,
0.5208,0.0611,1.5432,52,
0.3117,0.0078,0.6888,12,
0.0586,0.0011,3.1791,12,
0.1406,0.0048,12.1320,5,
0.1189,0.0564,18.5604,6,
0.0190,0.0081,132.4399,7,
0.2339,0.0190,3.6130,12,
0.1127,0.0146,13.0899,11,
0.2663,0.0735,11.5211,14,
0.5298,0.0671,1.6368,53,
0.2669,0.0012,1.0144,10,
0.0618,0.0017,44.5739,13,
0.1261,0.0648,18.1585,8,
0.0535,0.0131,38.2725,4,
0.0088,0.0049,261.5860,5,
0.2372,0.0205,4.4532,12,
0.1054,0.0239,16.7522,11,
0.2504,0.0400,11.2203,14,
0.5439,0.0728,1.6174,54,
0.2563,0.0010,0.3357,10,
0.0579,0.0024,8.5573,13,
0.1479,0.0531,13.8387,5,
0.1326,0.0747,17.7247,7,
0.0224,0.0057,74.0262,4,
0.0133,0.0076,169.4325,6,
0.2372,0.0203,4.8820,12,
0.1111,0.0259,15.4332,11,
0.2711,0.0689,11.2930,14,
0.5209,0.0622,1.5313,54,
0.2678,0.0070,0.8771,10,
0.0650,0.0027,5.4589,14,
0.1437,0.0146,6.6726,5,
0.1279,0.0483,16.6166,6,
0.0148,0.0085,162.0785,7,
0.2302,0.0132,4.3248,12,
0.1477,0.0425,16.7583,11,
0.2342,0.0747,10.8105,13,
0.5484,0.0822,1.7202,56,
0.2212,0.0002,0.5563,9,
0.0655,0.0010,3.3927,13,
0.1490,0.0234,8.1501,5,
0.1269,0.0569,17.3024,5,
0.0336,0.0069,63.9298,7,
0.2302,0.0132,5.0038,12,
0.1401,0.0400,20.2554,11,
0.2288,0.0633,10.7527,13,
0.5447,0.0696,1.5719,58,
0.1957,0.0009,0.8114,8,
0.0589,0.0011,4.0013,13,
0.2592,0.0450,8.9907,7,
0.1639,0.0744,13.5222,8,
0.0209,0.0043,102.1367,6,
0.2263,0.0137,5.6484,12,
0.1305,0.0347,25.2561,11,
0.2390,0.0704,10.0397,13,
0.5392,0.0666,1.5077,60,
0.1674,0.0037,1.1184,7,
0.0688,0.0013,4.5301,13,
0.1783,0.0786,13.1851,6,
0.1246,0.0722,18.5664,7,
0.0140,0.0030,113.0900,6,
0.2425,0.0132,4.3422,13,
0.0940,0.0259,19.6105,10,
0.2241,0.0669,10.8690,13,
0.5399,0.0628,1.5224,61,
0.1119,0.0005,0.3758,5,
0.0599,0.0014,5.9656,13,
0.1769,0.0664,11.8170,6,
0.1218,0.0508,17.5835,5,
0.0174,0.0053,134.7406,7,
0.2251,0.0132,4.9517,12,
0.0924,0.0263,20.2652,10,
0.2259,0.0666,10.6109,13,
0.5478,0.0711,1.6131,64,
0.0511,0.0037,18.0856,14,
0.1422,0.0164,7.2245,5,
0.1257,0.0551,17.3070,5,
0.0144,0.0081,136.1372,7,
0.2272,0.0135,5.3522,12,
0.0909,0.0283,21.2093,10,
0.2270,0.0745,11.0073,13,
0.5454,0.0702,1.6607,63,
0.0525,0.0028,8.8655,13,
0.1560,0.0365,14.2428,4,
0.1463,0.0615,14.5740,5,
0.1282,0.0473,16.2742,5,
0.0164,0.0048,188.2337,7,
0.2272,0.0206,4.1219,12,
0.1102,0.0298,17.2198,11,
0.2483,0.0411,10.9501,14,
0.2788,0.0378,3.5747,36,
0.1914,0.0253,5.0443,17,
0.0563,0.0021,7.9996,13,
0.1756,0.0818,12.9189,6,
0.1716,0.0779,12.5720,6,
0.0208,0.0114,117.3446,7,
0.2214,0.0116,3.8557,11,
0.1260,0.0296,27.0367,11,
0.2315,0.0726,10.7321,13,
0.2792,0.0411,3.9773,38,
0.1597,0.0137,4.4566,13,
0.0592,0.0020,7.4841,14,
0.1578,0.0320,14.2547,4,
0.1410,0.0826,15.8567,5,
0.1208,0.0490,17.7981,5,
0.0248,0.0126,95.2276,7,
0.2254,0.0171,4.7371,12,
0.0925,0.0261,20.2133,10,
0.2310,0.0815,10.7589,13,
0.2868,0.0513,4.4310,38,
0.0954,0.0057,4.9668,5,
0.0580,0.0006,47.7208,13,
0.1815,0.0626,11.7740,6,
0.0665,0.0265,29.8292,3,
0.1187,0.0513,18.1437,5,
0.0128,0.0055,177.9177,6,
0.2398,0.0133,4.5145,13,
0.1104,0.0141,16.2326,11,
0.1319,0.0009,0.4716,4,
0.2328,0.0676,11.0917,13,
0.2623,0.0408,4.3446,37,
0.0590,0.0007,49.5289,13,
0.1451,0.0100,6.4713,5,
0.1450,0.0348,15.9561,4,
0.1200,0.0510,17.9093,5,
0.0080,0.0024,226.9998,5,
0.2234,0.0136,5.6960,12,
0.1223,0.0215,21.4916,11,
0.1330,0.0034,1.6101,4,
0.2328,0.0716,11.1737,13,
0.2489,0.0359,4.2099,36,
0.0808,0.0039,5.2144,4,
0.0524,0.0017,26.7802,13,
0.1353,0.0498,15.7973,5,
0.1262,0.0510,16.8813,5,
0.0361,0.0081,63.5568,7,
0.2282,0.0132,4.8641,12,
0.0913,0.0293,21.5406,10,
0.2308,0.0669,10.1617,13,
0.2451,0.0338,4.1390,35,
0.0685,0.0013,3.5789,13,
0.1431,0.0548,14.7460,5,
0.1263,0.0649,18.2038,7,
0.0302,0.0032,33.1152,4,
0.0106,0.0064,198.0960,6,
0.2310,0.0206,4.1530,12,
0.1006,0.0204,16.9788,11,
0.2573,0.0480,9.9279,14,
0.2353,0.0298,3.9125,33,
0.0658,0.0075,12.8683,5,
0.0638,0.0009,3.3030,13,
0.1745,0.0599,11.9367,6,
0.1199,0.0426,18.3948,5,
0.1063,0.0139,17.7605,4,
0.0550,0.0030,8.6775,6,
